,R_s,R_b,slope,intercept
71,360.0,60.0,0.14562249673253805,-2.788917013528124
72,360.0,110.0,0.14651044295620785,-2.9453337107183275
73,360.0,160.0,0.14839738668474473,-2.89539972877616
74,360.0,210.0,0.1514955382771373,-2.9077711436670928
75,360.0,260.0,0.15674448677238223,-2.969253997971149
76,360.0,310.0,0.15403543518334142,-3.0448431361005874
77,360.0,360.0,0.1453026341694787,-2.8360317143175875
78,360.0,410.0,0.14929385691261907,-2.8104852464754946
79,360.0,460.0,0.13537881725024165,-2.6099269107600787
80,410.0,10.0,0.14282639459315502,-2.8471178873593512
81,410.0,60.0,0.14337145302862672,-2.7394610883246466
82,410.0,110.0,0.1531844835357432,-2.941061788726595
83,410.0,160.0,0.14815812574922094,-2.8973682652039066
84,410.0,210.0,0.1451985470023519,-2.799931759715923
85,410.0,260.0,0.14515014474353422,-2.8958014658806244
86,410.0,310.0,0.13994552088835185,-2.7460418271226694
87,410.0,360.0,0.14779983828721938,-2.842286209422513
88,410.0,410.0,0.14415877729550658,-2.8068932499071946
89,410.0,460.0,0.14381827415804455,-2.780986727523467
90,460.0,10.0,0.13937307692430626,-2.7742496737710485
91,460.0,60.0,0.15047573823542912,-2.8320662189934467
92,460.0,110.0,0.14538584226925863,-2.7426354259179635
93,460.0,160.0,0.14241977227530492,-2.703391124815593
94,460.0,210.0,0.14073026742289213,-2.7033495701362873
95,460.0,260.0,0.14043940449290895,-2.734585647114639
96,460.0,310.0,0.1511068976550396,-2.9246730671253647
97,460.0,360.0,0.14175721348423462,-2.750267074016828
98,460.0,410.0,0.14671577315550097,-2.811711759597303
99,460.0,460.0,0.15060027380513083,-2.8557503519869343
