,R_s,R_b,slope,intercept
0,10.0,10.0,0.1774382627760969,-0.651696735194898
1,10.0,60.0,0.16835449959702234,-0.6375645081038622
2,10.0,110.0,0.17863729507075218,-0.6679608511802428
3,10.0,160.0,0.1749469077580576,-0.6329729521576495
4,10.0,210.0,0.16924520978603227,-0.7004577677927589
5,10.0,260.0,0.18993742671589167,-0.7035071207656339
6,10.0,310.0,0.1882315240622775,-0.7198228756510823
7,10.0,360.0,0.18359569868384823,-0.6697884390121391
8,10.0,410.0,0.18995130680887953,-0.6636435077702929
9,10.0,460.0,0.17794959054051088,-0.6004949828955887
10,60.0,10.0,0.18508700714391496,-0.6944121654525035
11,60.0,60.0,0.18905286570562588,-0.6559809856173048
12,60.0,110.0,0.2035184969083363,-0.5691370901276279
13,60.0,160.0,0.18146907088752515,-0.7085531199244591
14,60.0,210.0,0.1799338349555413,-0.661755322960088
15,60.0,260.0,0.18432263784153632,-0.6025433685182408
16,60.0,310.0,0.18270292551489323,-0.6177816107496056
17,60.0,360.0,0.18268554516891936,-0.5588992241454578
18,60.0,410.0,0.17686685106113365,-0.6547010770231155
19,60.0,460.0,0.1943935048285967,-0.6654967269012733
20,110.0,10.0,0.18418459614111474,-0.5779596306497232
21,110.0,60.0,0.1850228718163518,-0.589685659985553
22,110.0,110.0,0.16944990970516555,-0.6014705344145147
23,110.0,160.0,0.178970428446462,-0.6469104059570275
24,110.0,210.0,0.1889191343592121,-0.582818565619872
25,110.0,260.0,0.1821844477650685,-0.6232222390643742
26,110.0,310.0,0.18396942989196563,-0.5799702237067831
27,110.0,360.0,0.1952821036119795,-0.7017931521989383
28,110.0,410.0,0.180721272820691,-0.6765002841818465
29,110.0,460.0,0.18785644818891256,-0.647424087612964
30,160.0,10.0,0.19158999045979302,-0.6609030542904889
31,160.0,60.0,0.18063410233161142,-0.6566371100984619
32,160.0,110.0,0.18676313813444298,-0.6643954896827016
33,160.0,160.0,0.17539052218059853,-0.614859411831408
34,160.0,210.0,0.18717996164463713,-0.7288787246524128
35,160.0,260.0,0.19314762640107883,-0.6449964895698276
36,160.0,310.0,0.19859866921798947,-0.7167620258482258
37,160.0,360.0,0.18417392762601817,-0.5999334367710151
38,160.0,410.0,0.18343685858091752,-0.7028013542969626
39,160.0,460.0,0.18357502082783744,-0.6424156245807509
40,210.0,10.0,0.1736420497948372,-0.5901634889695244
41,210.0,60.0,0.18486600027130715,-0.6171838876203483
42,210.0,110.0,0.16352835995533083,-0.6328575557656253
43,210.0,160.0,0.19001899215052914,-0.6788808960437526
44,210.0,210.0,0.18550849978923692,-0.7117883826257673
45,210.0,260.0,0.19109862937264355,-0.6489799191626059
