,R_s,R_b,slope,intercept
86,210.0,310.0,2.2211986422224093,0.1163300124410715
87,210.0,360.0,2.240386255274294,0.11789356775951516
88,210.0,410.0,2.1921625053151073,0.11530062998878626
89,210.0,460.0,2.1276619679072692,0.11225920404505642
90,210.0,510.0,2.224327307118634,0.11691959738157616
91,210.0,560.0,2.147698552104437,0.114551479622056
92,210.0,610.0,2.199017899518216,0.1167712914772844
93,210.0,660.0,2.194925857285511,0.115307029975048
94,210.0,710.0,2.2698281323355025,0.11772865479042463
95,210.0,760.0,2.097242784371817,0.11217249506291817
96,210.0,810.0,2.1937789005146215,0.11588182580767263
97,210.0,860.0,2.157725955972248,0.11294902243774461
98,210.0,910.0,2.1799589769388,0.11590187935744035
99,210.0,960.0,2.183438630807681,0.11395267588719137
100,260.0,10.0,2.100823468365401,0.11326026066290823
101,260.0,60.0,2.164396440241419,0.11550396514949894
102,260.0,110.0,2.159218102360325,0.11620218188812087
103,260.0,160.0,2.200763051136304,0.11715312906078192
104,260.0,210.0,2.208340535841731,0.1178233117795559
105,260.0,260.0,2.1880405632492224,0.11789198475816012
106,260.0,310.0,2.148852139208997,0.11644264848142592
107,260.0,360.0,2.16752309758969,0.1179500128123194
108,260.0,410.0,2.126325850897377,0.11623241718626053
109,260.0,460.0,2.13095723546936,0.11663076693837411
110,260.0,510.0,2.1892502998081897,0.118680028978849
111,260.0,560.0,2.1822619382727972,0.11803820987951502
112,260.0,610.0,2.1280629290056523,0.11642628808545509
113,260.0,660.0,2.155199268357423,0.11674455278181621
114,260.0,710.0,2.156727372374631,0.11625547417774548
115,260.0,760.0,2.1679854169476673,0.11773923030830262
116,260.0,810.0,2.168678634405779,0.11649868757812681
117,260.0,860.0,2.1386007145572954,0.1155419030598264
118,260.0,910.0,2.1260693503490256,0.1153536670474789
119,260.0,960.0,2.20200156893821,0.1189739952078586
120,310.0,10.0,2.12824649511242,0.11706741629489009
121,310.0,60.0,2.1073331505444517,0.11525312690003613
122,310.0,110.0,2.1844342011672304,0.11921182737107415
123,310.0,160.0,2.0926106604702355,0.11558709426953699
124,310.0,210.0,2.146132044716459,0.11691798437386212
125,310.0,260.0,2.105169375067643,0.11558742664855026
126,310.0,310.0,2.109550389538113,0.11592652798671323
127,310.0,360.0,2.0599705996922544,0.11484966496603988
128,310.0,410.0,2.0671042834753535,0.11715895649125252
129,310.0,460.0,2.1957038721496343,0.12083732723829259
130,310.0,510.0,2.0738149336209832,0.11723079800880742
131,310.0,560.0,2.0785135335892195,0.11645166667948038
132,310.0,610.0,2.1070413775490304,0.11794774815630876
133,310.0,660.0,1.9904866887556272,0.11463458190339743
134,310.0,710.0,2.0722408093590685,0.1167302779288779
135,310.0,760.0,2.1217245834703475,0.11794878965135153
136,310.0,810.0,2.076047330169286,0.1167940220405463
137,310.0,860.0,2.165784054782355,0.1200041154298786
138,310.0,910.0,2.03463256805023,0.11407098662787127
139,310.0,960.0,2.0944830202458546,0.11772087965907053
140,360.0,10.0,2.0836426943148814,0.11674466190738886
141,360.0,60.0,2.084293972988461,0.11862872368138816
142,360.0,110.0,2.0792105130632965,0.11665543944475963
143,360.0,160.0,2.1575592021751646,0.1223792709289719
144,360.0,210.0,1.9569908215506748,0.11325463475836575
145,360.0,260.0,2.084302595435906,0.117655105535321
146,360.0,310.0,2.0925606625014814,0.1185830658843945
147,360.0,360.0,2.084761257073317,0.11851329010128875
148,360.0,410.0,1.995654952451112,0.1155672361583996
149,360.0,460.0,1.958766952494769,0.11471701002506789
150,360.0,510.0,1.9815115854289644,0.11529795271266208
151,360.0,560.0,2.0142368545592904,0.11579913120115969
152,360.0,610.0,2.0081827515270807,0.11548165754368668
153,360.0,660.0,2.0882427467026563,0.11863298229195585
154,360.0,710.0,2.0021731432510177,0.11713002836692682
155,360.0,760.0,1.9910596837217058,0.11642878462952201
156,360.0,810.0,2.0418478871999386,0.11622093083128375
157,360.0,860.0,1.9751089004249636,0.11352072058994102
158,360.0,910.0,2.1027828279695013,0.11826011427125695
159,360.0,960.0,2.0772935061431816,0.1164585838936196
160,410.0,10.0,2.003854420410337,0.1162062181990624
161,410.0,60.0,2.0369904828773,0.11738380327415782
162,410.0,110.0,2.0512615976088635,0.11711694642084453
163,410.0,160.0,1.9970455456313685,0.11737255257443875
164,410.0,210.0,1.968370164858934,0.11551149659045522
165,410.0,260.0,2.0928270201902337,0.12047970971888515
166,410.0,310.0,1.9883002235504783,0.11749404644616859
167,410.0,360.0,2.0109728145359074,0.11761127057252749
168,410.0,410.0,1.9873900322498501,0.11678088538285455
169,410.0,460.0,1.9880172907861888,0.11945312127618309
170,410.0,510.0,1.9764844562559574,0.11926898090679681
171,410.0,560.0,2.0539110747825022,0.12053784852553372
172,410.0,610.0,1.9795316532381915,0.11752229556381256
173,410.0,660.0,1.9803399591635893,0.1169547918590184
174,410.0,710.0,2.0143203055491896,0.11942241196720405
175,410.0,760.0,1.9584501750715477,0.1160931117554081
176,410.0,810.0,2.0268688804011914,0.11910219834003409
177,410.0,860.0,2.014918966478674,0.11943221864540954
178,410.0,910.0,1.9923770047558467,0.1174103217140427
179,410.0,960.0,1.962356643789075,0.11666695829662899
180,460.0,10.0,1.9551276933581476,0.11696564788868945
181,460.0,60.0,1.9771610000210966,0.117207771404009
182,460.0,110.0,2.0007874757823525,0.11740213740835283
183,460.0,160.0,1.970376879484225,0.1179471722978229
184,460.0,210.0,1.9778592389243543,0.11856285538111964
185,460.0,260.0,1.965773690515752,0.118256387182271
186,460.0,310.0,1.958948165519603,0.11902507264219411
187,460.0,360.0,2.0318063922782437,0.12016782755657937
188,460.0,410.0,1.9073455362351943,0.11493738269727277
189,460.0,460.0,1.9249917637372067,0.11684832354305202
190,460.0,510.0,1.857935677991249,0.11510456966486102
191,460.0,560.0,1.9567479436925492,0.11854307781537292
192,460.0,610.0,1.8810885401430684,0.11449907383473887
193,460.0,660.0,1.9504990297996343,0.11846603081602561
194,460.0,710.0,1.9351626269375228,0.11833993256996823
195,460.0,760.0,1.894439149367739,0.11636754827847881
196,460.0,810.0,1.997610711429722,0.11989014936874313
197,460.0,860.0,1.9545976311225521,0.11827188702267086
198,460.0,910.0,2.000359565157036,0.11972378871095604
199,460.0,960.0,1.9396776610952127,0.11820772533067936
200,510.0,10.0,1.9532354678679187,0.11856230471931152
201,510.0,60.0,1.8974793687419798,0.11634677466172219
202,510.0,110.0,1.9425344589580684,0.1177856666713517
203,510.0,160.0,1.8933088954225126,0.11590954806662529
204,510.0,210.0,1.8744682793212075,0.11395552261049548
205,510.0,260.0,1.9282658166184052,0.11838505795392662
206,510.0,310.0,1.9308670393787284,0.11919422984415942
207,510.0,360.0,1.887176332840509,0.1165673988546079
208,510.0,410.0,1.9029156350287717,0.11726676791690395
209,510.0,460.0,1.959413063192158,0.12062624180999412
210,510.0,510.0,1.9286363550551737,0.12032927407694757
211,510.0,560.0,1.9242701151853645,0.11953415448026791
212,510.0,610.0,1.8944934893661909,0.11878350383565738
213,510.0,660.0,1.9069174048153457,0.11858342264122135
214,510.0,710.0,1.8216445965587806,0.1159349263693476
215,510.0,760.0,1.9253953483231558,0.12004760166722989
216,510.0,810.0,1.9774276985351211,0.12069734105721239
217,510.0,860.0,1.8941816085138574,0.11839924752987968
218,510.0,910.0,1.9014616870882801,0.11827760322060722
219,510.0,960.0,1.891953706085462,0.11586664852375203
220,560.0,10.0,1.8668110849158863,0.11501341758926475
221,560.0,60.0,1.9201473616293,0.11653454475166167
222,560.0,110.0,1.9638935315366906,0.11891310520948468
223,560.0,160.0,1.9338243972268576,0.12002269329445112
224,560.0,210.0,1.9182927858082242,0.11967378323223647
225,560.0,260.0,1.8429193908835189,0.11531468847058159
226,560.0,310.0,1.8915567440669177,0.11930325636188173
227,560.0,360.0,1.8451151008342703,0.11595639143655603
228,560.0,410.0,1.8699108559122444,0.11741607041625719
229,560.0,460.0,1.8820061839291562,0.12016120754049785
230,560.0,510.0,1.865061221823044,0.11766251944854483
231,560.0,560.0,1.863397496519862,0.11777188274625168
232,560.0,610.0,1.7996455697823353,0.11572146794207436
233,560.0,660.0,1.9225593719395715,0.1194279254569023
234,560.0,710.0,1.932793650388861,0.11981685460089779
235,560.0,760.0,1.8221926099229027,0.1153680024878141
236,560.0,810.0,1.8115733667702165,0.11638845910855529
237,560.0,860.0,1.8614994965723646,0.11637152113108352
238,560.0,910.0,1.8620592150818025,0.11848505982007727
239,560.0,960.0,1.8573640220845844,0.11829790607934185
240,610.0,10.0,1.9229188101193504,0.1179654096973773
241,610.0,60.0,1.8623407815994766,0.11606294502458003
242,610.0,110.0,1.8671918587739074,0.11522145108720513
243,610.0,160.0,1.8610288919854228,0.11646535334303905
244,610.0,210.0,1.8644848583379174,0.11682707366248687
245,610.0,260.0,1.8311072393767927,0.11539331947290926
246,610.0,310.0,1.842287500360959,0.1167671485039788
247,610.0,360.0,1.9560186147073746,0.12197677593970717
248,610.0,410.0,1.7822852500921762,0.11393844422091066
249,610.0,460.0,1.8206421357811047,0.11743744341088067
250,610.0,510.0,1.8307915760795757,0.11680041541808643
251,610.0,560.0,1.8126244179255624,0.11611440975501909
252,610.0,610.0,1.7955222537517292,0.11585785042206771
253,610.0,660.0,1.8669091908179851,0.11827375523144769
254,610.0,710.0,1.8444152798993738,0.11731418866402796
255,610.0,760.0,1.8233989705546634,0.11601383467260241
256,610.0,810.0,1.8749459249882057,0.11858914177819112
257,610.0,860.0,1.8276068140208197,0.11784682016070278
258,610.0,910.0,1.8312311113607462,0.11661630513272264
259,610.0,960.0,1.8148921884757607,0.11547936467783929
260,660.0,10.0,1.8459752220141834,0.11559869642447487
261,660.0,60.0,1.9264251318350551,0.11905668893664588
262,660.0,110.0,1.8952859651587777,0.11725000446989016
263,660.0,160.0,1.8759989676913513,0.1169487673078227
264,660.0,210.0,1.8570416247131023,0.1168275183432453
265,660.0,260.0,1.8520795512275239,0.11962653907489239
266,660.0,310.0,1.9299423765458343,0.12177661350868911
267,660.0,360.0,1.8657972697997096,0.11745333127496907
268,660.0,410.0,1.7867511823639033,0.11595370889802728
269,660.0,460.0,1.8052207627891712,0.11606824378145575
270,660.0,510.0,1.849582739526283,0.11843411675712583
271,660.0,560.0,1.7660909376221896,0.11449296082151501
272,660.0,610.0,1.808824606309297,0.11729054131589273
273,660.0,660.0,1.7853068259841693,0.11447364097566569
274,660.0,710.0,1.7760112465157347,0.11424193467446095
275,660.0,760.0,1.8236837898384364,0.1179786385996418
276,660.0,810.0,1.8022051743960406,0.1165640210094534
277,660.0,860.0,1.7891004872743175,0.11722741196782724
278,660.0,910.0,1.8698485014770823,0.11847014358609632
279,660.0,960.0,1.8565327694227043,0.11910123620939514
280,710.0,10.0,1.948018860817436,0.11955562597728832
281,710.0,60.0,1.875635836531333,0.11535074938898893
282,710.0,110.0,1.9295511729409727,0.11884247933042028
283,710.0,160.0,1.8769001831144105,0.11762765629200503
284,710.0,210.0,1.8805125933065465,0.1170808150191918
285,710.0,260.0,1.8633157251311028,0.11727223705356035
286,710.0,310.0,1.8482601666223637,0.11674587086572454
287,710.0,360.0,1.874027363639584,0.11970492434965341
288,710.0,410.0,1.854728383684656,0.11933289251546014
289,710.0,460.0,1.8580104369839872,0.11861161284329684
290,710.0,510.0,1.8649026264482027,0.11934050267888069
291,710.0,560.0,1.896478984838038,0.11915918573899068
292,710.0,610.0,1.8439202300724433,0.11854009959283535
293,710.0,660.0,1.8729119009393518,0.12080831822188183
294,710.0,710.0,1.8345914586851324,0.11678069924925767
295,710.0,760.0,1.8331109312972214,0.11816904282683575
296,710.0,810.0,1.7624191598294667,0.11348144579108983
297,710.0,860.0,1.7717763627862475,0.11337305528022039
298,710.0,910.0,1.8991196191677806,0.1199997546414909
299,710.0,960.0,1.8980852110072215,0.11890315311842772
300,760.0,10.0,1.9533402976987426,0.11982041489179908
301,760.0,60.0,1.9589352469913275,0.11960342912758241
302,760.0,110.0,1.9328862025126072,0.11909964652201656
303,760.0,160.0,1.9073979313775222,0.11698474050575933
304,760.0,210.0,1.8921161797930657,0.11744086232706671
